id_detalle,id_venta,id_producto,cantidad,precio_unitario,subtotal
50088,10034,7,2,3800,7600
50089,10034,4,3,900,2700
50090,10034,8,1,1500,1500
50091,10035,6,1,750,750
50092,10035,2,1,1800,1800
50093,10035,8,3,1500,4500
50094,10035,4,1,900,900
50095,10035,5,2,1600,3200
50096,10036,6,2,750,1500
50097,10036,8,3,1500,4500
50098,10037,4,3,900,2700
50099,10037,8,3,1500,4500
50100,10038,7,3,3800,11400
50101,10039,2,3,1800,5400
50102,10039,1,1,1100,1100
50103,10039,8,3,1500,4500
50104,10040,3,1,2200,2200
50105,10040,7,2,3800,7600
50106,10040,1,1,1100,1100
50107,10041,2,2,1800,3600
50108,10042,1,3,1100,3300
50109,10042,4,3,900,2700
50110,10042,3,3,2200,6600
50111,10043,4,1,900,900
50112,10043,3,1,2200,2200
50113,10044,3,3,2200,6600
50114,10044,1,1,1100,1100
50115,10044,8,2,1500,3000
50116,10044,7,1,3800,3800
50117,10045,7,1,3800,3800
50118,10046,7,2,3800,7600
50119,10047,4,1,900,900
50120,10047,8,3,1500,4500
50121,10048,2,2,1800,3600
50122,10048,4,3,900,2700
50123,10049,2,1,1800,1800
50124,10049,1,2,1100,2200
50125,10050,4,3,900,2700
50126,10050,7,3,3800,11400
50127,10050,1,1,1100,1100
50128,10050,2,1,1800,1800
50129,10051,5,1,1600,1600
50130,10052,8,1,1500,1500
50131,10053,3,3,2200,6600
50132,10053,8,3,1500,4500
50133,10053,2,3,1800,5400
50134,10054,4,3,900,2700
50135,10054,7,1,3800,3800
50136,10054,3,1,2200,2200
50137,10054,8,3,1500,4500
50138,10054,1,2,1100,2200
50139,10055,8,1,1500,1500
50140,10055,1,3,1100,3300
50141,10055,3,2,2200,4400
50142,10056,5,2,1600,3200
50143,10057,6,2,750,1500
50144,10057,2,2,1800,3600
50145,10057,4,1,900,900
50146,10058,1,2,1100,2200
50147,10058,2,1,1800,1800
50148,10059,4,1,900,900
50149,10059,8,3,1500,4500
50150,10059,1,3,1100,3300
50151,10060,2,3,1800,5400
50152,10060,4,1,900,900
50153,10060,6,3,750,2250
50154,10060,8,2,1500,3000
50155,10060,1,3,1100,3300
50156,10061,2,1,1800,1800
50157,10062,3,3,2200,6600
50158,10062,8,2,1500,3000
50159,10063,4,2,900,1800
50160,10063,7,3,3800,11400
50161,10064,8,2,1500,3000
50162,10064,7,2,3800,7600
50163,10064,3,1,2200,2200
50164,10064,4,3,900,2700
50165,10065,8,3,1500,4500
50166,10065,7,2,3800,7600
50167,10065,5,1,1600,1600
50168,10065,1,1,1100,1100
50169,10066,6,3,750,2250
50170,10066,7,1,3800,3800
50171,10066,5,2,1600,3200
50172,10067,5,3,1600,4800
50173,10067,4,2,900,1800
50174,10067,8,2,1500,3000
50175,10068,4,2,900,1800
50176,10068,2,1,1800,1800
50177,10068,6,2,750,1500
50178,10069,4,3,900,2700
50179,10070,8,1,1500,1500
50180,10070,5,3,1600,4800
50181,10070,2,2,1800,3600
50182,10070,1,3,1100,3300
50183,10070,6,3,750,2250
50184,10071,4,3,900,2700
50185,10071,7,3,3800,11400
50186,10071,8,3,1500,4500
50187,10072,1,1,1100,1100
50188,10072,8,1,1500,1500
50189,10072,7,1,3800,3800
50190,10072,4,1,900,900
50191,10072,2,2,1800,3600
50192,10072,6,3,750,2250
50193,10073,5,1,1600,1600
50194,10074,5,2,1600,3200
50195,10074,4,1,900,900
50196,10075,2,1,1800,1800
50197,10075,7,1,3800,3800
50198,10075,1,2,1100,2200
50199,10076,7,2,3800,7600
50200,10076,5,1,1600,1600
50201,10076,2,1,1800,1800
50202,10076,1,1,1100,1100
50203,10076,3,1,2200,2200
50204,10076,6,1,750,750
50205,10077,2,3,1800,5400
50206,10077,7,1,3800,3800
50207,10077,6,1,750,750
50208,10077,5,1,1600,1600
50209,10078,1,1,1100,1100
50210,10078,7,1,3800,3800
50211,10078,6,3,750,2250
50212,10079,1,1,1100,1100
50213,10080,8,2,1500,3000
50214,10081,4,3,900,2700
50215,10081,8,3,1500,4500
50216,10082,8,1,1500,1500
50217,10082,2,1,1800,1800
50218,10082,1,3,1100,3300
50219,10082,5,1,1600,1600
50220,10082,7,3,3800,11400
50221,10083,5,1,1600,1600
50222,10083,1,1,1100,1100
50223,10083,8,1,1500,1500
50224,10083,6,3,750,2250
50225,10084,3,1,2200,2200
50226,10084,2,3,1800,5400
50227,10084,7,2,3800,7600
50228,10085,7,2,3800,7600
50229,10086,5,2,1600,3200
50230,10087,4,3,900,2700
50231,10087,5,1,1600,1600
50232,10087,1,3,1100,3300
50233,10087,3,3,2200,6600
50234,10088,5,1,1600,1600
50235,10088,1,2,1100,2200
50236,10088,4,2,900,1800
50237,10088,3,3,2200,6600
50238,10088,7,2,3800,7600
50239,10088,8,2,1500,3000
50240,10089,8,1,1500,1500
50241,10089,1,3,1100,3300
50242,10089,5,3,1600,4800
50243,10089,3,2,2200,4400
50244,10090,3,3,2200,6600
50245,10090,1,1,1100,1100
50246,10090,2,2,1800,3600
50247,10090,5,1,1600,1600
50248,10090,7,2,3800,7600
50249,10091,7,2,3800,7600
50250,10091,6,2,750,1500
50251,10091,4,2,900,1800
50252,10092,8,1,1500,1500
50253,10092,4,1,900,900
50254,10092,2,3,1800,5400
50255,10093,8,1,1500,1500
50256,10093,2,1,1800,1800
50257,10093,3,2,2200,4400
50258,10094,5,2,1600,3200
50259,10094,8,1,1500,1500
50260,10094,3,1,2200,2200
50261,10094,1,3,1100,3300
50262,10094,7,3,3800,11400
50263,10095,6,3,750,2250
50264,10095,4,3,900,2700
50265,10095,3,2,2200,4400
50266,10096,4,2,900,1800
50267,10096,1,1,1100,1100
50268,10097,2,2,1800,3600
50269,10097,7,1,3800,3800
50270,10098,1,1,1100,1100
50271,10098,5,1,1600,1600
50272,10098,7,3,3800,11400
50273,10098,2,3,1800,5400
50274,10098,3,1,2200,2200
50275,10098,8,3,1500,4500
50276,10098,4,1,900,900
50277,10099,1,2,1100,2200
50278,10099,5,2,1600,3200
50279,10099,7,2,3800,7600
50280,10100,7,3,3800,11400
50281,10100,1,2,1100,2200
50282,10101,7,1,3800,3800
50283,10101,1,2,1100,2200
50284,10101,4,3,900,2700
50285,10101,2,1,1800,1800
50286,10102,5,3,1600,4800
50287,10102,6,3,750,2250
50288,10103,1,1,1100,1100
50289,10103,4,2,900,1800
50290,10104,1,1,1100,1100
50291,10104,6,2,750,1500
50292,10104,8,3,1500,4500
50293,10105,1,1,1100,1100
50294,10105,2,2,1800,3600
50295,10106,1,2,1100,2200
50296,10106,5,3,1600,4800
50297,10106,2,1,1800,1800
50298,10106,7,2,3800,7600
50299,10107,7,2,3800,7600
50300,10107,2,2,1800,3600
50301,10107,1,3,1100,3300
50302,10108,7,3,3800,11400
50303,10108,3,1,2200,2200
50304,10108,6,3,750,2250
50305,10108,1,2,1100,2200
50306,10109,2,2,1800,3600
50307,10110,4,2,900,1800
50308,10110,3,3,2200,6600
50309,10110,8,1,1500,1500
50310,10111,7,2,3800,7600
50311,10111,1,2,1100,2200
50312,10111,3,2,2200,4400
50313,10112,1,2,1100,2200
50314,10112,4,2,900,1800
50315,10113,7,1,3800,3800
50316,10113,2,2,1800,3600
50317,10114,1,3,1100,3300
50318,10114,6,3,750,2250
50319,10115,6,3,750,2250
50320,10115,7,3,3800,11400
50321,10115,2,1,1800,1800
50322,10116,2,2,1800,3600
50323,10116,1,2,1100,2200
50324,10116,7,3,3800,11400
50325,10117,8,1,1500,1500
50326,10118,2,2,1800,3600
50327,10119,6,2,750,1500
50328,10119,3,1,2200,2200
50329,10119,7,3,3800,11400
50330,10119,8,3,1500,4500
50331,10119,5,2,1600,3200
50332,10119,4,3,900,2700
50333,10120,4,3,900,2700
50334,10120,2,1,1800,1800
50335,10121,5,1,1600,1600
50336,10121,7,1,3800,3800
50337,10121,3,2,2200,4400
50338,10121,1,3,1100,3300
50339,10121,4,2,900,1800
50340,10122,4,2,900,1800
50341,10122,7,3,3800,11400
50342,10122,8,2,1500,3000
50343,10123,1,1,1100,1100
50344,10124,1,2,1100,2200
50345,10124,2,2,1800,3600
50346,10125,6,1,750,750
50347,10126,3,1,2200,2200
50348,10127,6,2,750,1500
50349,10127,3,2,2200,4400
50350,10127,2,2,1800,3600
50351,10128,4,2,900,1800
50352,10129,1,1,1100,1100
50353,10129,6,2,750,1500
50354,10129,3,3,2200,6600
50355,10130,5,2,1600,3200
50356,10131,2,3,1800,5400
50357,10131,6,1,750,750
50358,10132,7,1,3800,3800
50359,10133,8,1,1500,1500
50360,10133,1,1,1100,1100
50361,10134,6,2,750,1500
50362,10135,7,2,3800,7600
50363,10136,5,2,1600,3200
50364,10137,3,1,2200,2200
50365,10138,6,3,750,2250
50366,10138,8,2,1500,3000
50367,10138,7,3,3800,11400
50368,10138,3,1,2200,2200
50369,10139,3,2,2200,4400
50370,10139,5,1,1600,1600
50371,10140,4,3,900,2700
50372,10140,7,1,3800,3800
50373,10141,8,2,1500,3000
50374,10141,7,1,3800,3800
50375,10142,1,1,1100,1100
50376,10142,4,1,900,900
50377,10142,2,1,1800,1800
50378,10143,2,2,1800,3600
50379,10143,8,2,1500,3000
50380,10143,3,2,2200,4400
50381,10143,6,2,750,1500
50382,10144,1,3,1100,3300
50383,10145,7,2,3800,7600
50384,10146,8,2,1500,3000
50385,10146,5,2,1600,3200
50386,10147,6,2,750,1500
50387,10147,2,2,1800,3600
50388,10147,5,3,1600,4800
50389,10147,4,3,900,2700
50390,10147,1,3,1100,3300
50391,10148,2,2,1800,3600
50392,10148,6,2,750,1500
50393,10149,3,3,2200,6600
50394,10149,5,2,1600,3200
50395,10149,2,3,1800,5400
50396,10149,1,2,1100,2200
50397,10150,6,2,750,1500
50398,10150,5,3,1600,4800
50399,10151,3,1,2200,2200
50400,10152,3,3,2200,6600
50401,10153,2,1,1800,1800
50402,10153,6,1,750,750
50403,10154,5,1,1600,1600
50404,10155,7,3,3800,11400
50405,10156,5,1,1600,1600
50406,10156,7,1,3800,3800
50407,10157,5,3,1600,4800
50408,10158,2,2,1800,3600
50409,10158,4,1,900,900
50410,10158,1,1,1100,1100
50411,10158,8,3,1500,4500
50412,10158,6,1,750,750
50413,10159,2,3,1800,5400
50414,10160,3,3,2200,6600
50415,10161,5,1,1600,1600
50416,10161,7,2,3800,7600
50417,10162,4,3,900,2700
50418,10162,3,1,2200,2200
50419,10163,6,3,750,2250
50420,10163,1,3,1100,3300
50421,10164,2,3,1800,5400
50422,10165,3,3,2200,6600
50423,10165,1,1,1100,1100
50424,10165,6,1,750,750
50425,10166,1,3,1100,3300
50426,10167,8,1,1500,1500
50427,10167,3,1,2200,2200
50428,10167,2,1,1800,1800
50429,10167,5,1,1600,1600
50430,10167,1,1,1100,1100
50431,10168,1,3,1100,3300
50432,10168,2,1,1800,1800
50433,10168,6,3,750,2250
50434,10169,3,3,2200,6600
50435,10169,7,3,3800,11400
50436,10169,2,1,1800,1800
50437,10169,6,2,750,1500
50438,10169,1,3,1100,3300
50439,10170,5,3,1600,4800
50440,10170,7,2,3800,7600
50441,10171,2,1,1800,1800
50442,10171,1,1,1100,1100
50443,10171,6,1,750,750
50444,10171,3,1,2200,2200
50445,10171,5,1,1600,1600
50446,10172,8,2,1500,3000
50447,10172,1,1,1100,1100
50448,10172,5,3,1600,4800
50449,10173,2,1,1800,1800
50450,10174,1,3,1100,3300
50451,10175,8,2,1500,3000
50452,10175,3,2,2200,4400
50453,10176,2,1,1800,1800
50454,10176,3,3,2200,6600
50455,10176,4,1,900,900
50456,10176,6,1,750,750
50457,10176,5,2,1600,3200
50458,10177,2,2,1800,3600
50459,10177,8,3,1500,4500
50460,10178,1,1,1100,1100
50461,10179,6,3,750,2250
50462,10180,6,3,750,2250
50463,10181,6,2,750,1500
50464,10181,7,3,3800,11400
50465,10181,1,1,1100,1100
50466,10182,2,1,1800,1800
50467,10182,7,1,3800,3800
50468,10182,5,2,1600,3200
50469,10183,4,2,900,1800
50470,10183,7,1,3800,3800
50471,10183,2,3,1800,5400
50472,10184,5,1,1600,1600
50473,10184,8,3,1500,4500
50474,10185,6,3,750,2250
50475,10185,4,1,900,900
50476,10185,8,1,1500,1500
50477,10185,7,1,3800,3800
50478,10186,2,1,1800,1800
50479,10186,1,1,1100,1100
50480,10186,7,2,3800,7600
50481,10186,8,2,1500,3000
50482,10186,4,1,900,900
50483,10186,3,3,2200,6600
50484,10187,3,3,2200,6600
50485,10187,7,1,3800,3800
50486,10187,5,3,1600,4800
50487,10187,6,3,750,2250
50488,10187,1,1,1100,1100
50489,10188,3,1,2200,2200
50490,10188,4,3,900,2700
50491,10188,5,2,1600,3200
50492,10188,8,1,1500,1500
50493,10189,2,1,1800,1800
50494,10189,8,1,1500,1500
50495,10189,1,3,1100,3300
50496,10189,4,1,900,900
50497,10190,7,2,3800,7600
50498,10190,6,2,750,1500
50499,10190,4,2,900,1800
50500,10190,8,2,1500,3000
50501,10191,5,1,1600,1600
50502,10191,4,2,900,1800
50503,10191,2,1,1800,1800
50504,10191,8,1,1500,1500
50505,10191,7,2,3800,7600
50506,10191,3,1,2200,2200
50507,10192,2,2,1800,3600
50508,10193,5,2,1600,3200
50509,10193,2,1,1800,1800
50510,10193,4,2,900,1800
50511,10194,8,1,1500,1500
50512,10195,8,3,1500,4500
50513,10195,1,3,1100,3300
50514,10195,6,2,750,1500
50515,10195,4,1,900,900
50516,10196,8,3,1500,4500
50517,10196,5,1,1600,1600
50518,10197,2,3,1800,5400
50519,10197,6,2,750,1500
50520,10197,7,1,3800,3800
50521,10198,1,2,1100,2200
50522,10198,7,3,3800,11400
50523,10199,5,2,1600,3200
50524,10199,8,1,1500,1500
50525,10200,2,1,1800,1800
50526,10200,5,1,1600,1600
50527,10200,7,2,3800,7600
50528,10201,7,2,3800,7600
50529,10201,6,2,750,1500
50530,10201,4,1,900,900
50531,10201,5,3,1600,4800
50532,10201,8,1,1500,1500
50533,10201,3,3,2200,6600
50534,10201,2,1,1800,1800
50535,10202,7,1,3800,3800
50536,10203,6,3,750,2250
50537,10204,5,3,1600,4800
50538,10204,1,2,1100,2200
50539,10204,6,1,750,750
50540,10204,4,1,900,900
50541,10205,4,3,900,2700
50542,10205,5,2,1600,3200
50543,10205,7,2,3800,7600
50544,10206,7,1,3800,3800
50545,10206,3,2,2200,4400
50546,10206,4,1,900,900
50547,10206,8,1,1500,1500
50548,10206,1,2,1100,2200
50549,10206,2,2,1800,3600
50550,10206,5,1,1600,1600
50551,10207,5,3,1600,4800
50552,10207,1,1,1100,1100
50553,10208,7,2,3800,7600
50554,10208,5,1,1600,1600
50555,10209,2,2,1800,3600
50556,10210,3,2,2200,4400
50557,10210,5,2,1600,3200
50558,10210,4,3,900,2700
50559,10210,7,3,3800,11400
50560,10211,6,1,750,750
50561,10211,5,3,1600,4800
50562,10211,3,3,2200,6600
50563,10212,7,3,3800,11400
50564,10212,8,3,1500,4500
50565,10213,8,1,1500,1500
50566,10213,2,1,1800,1800
50567,10213,6,2,750,1500
50568,10214,1,3,1100,3300
50569,10214,8,2,1500,3000
50570,10215,4,1,900,900
50571,10215,3,1,2200,2200
50572,10216,5,1,1600,1600
50573,10216,7,3,3800,11400
50574,10216,1,2,1100,2200
50575,10217,3,3,2200,6600
50576,10217,2,1,1800,1800
50577,10218,8,3,1500,4500
50578,10218,3,3,2200,6600
50579,10219,8,2,1500,3000
50580,10219,4,3,900,2700
50581,10220,2,1,1800,1800
50582,10221,8,1,1500,1500
50583,10222,3,3,2200,6600
50584,10222,4,1,900,900
50585,10223,8,1,1500,1500
50586,10224,7,2,3800,7600
50587,10224,5,2,1600,3200
50588,10224,8,3,1500,4500
50589,10225,1,3,1100,3300
50590,10225,8,3,1500,4500
50591,10225,4,2,900,1800
50592,10225,2,3,1800,5400
50593,10226,3,2,2200,4400
50594,10226,2,1,1800,1800
50595,10226,6,1,750,750
50596,10226,5,2,1600,3200
50597,10227,1,2,1100,2200
50598,10227,6,1,750,750
50599,10227,2,1,1800,1800
50600,10228,5,1,1600,1600
50601,10229,7,1,3800,3800
50602,10229,4,2,900,1800
50603,10229,2,2,1800,3600
50604,10230,2,1,1800,1800
50605,10230,4,2,900,1800
50606,10230,3,2,2200,4400
50607,10230,7,2,3800,7600
50608,10230,6,1,750,750
50609,10230,5,2,1600,3200
50610,10231,2,3,1800,5400
50611,10231,5,1,1600,1600
50612,10232,7,3,3800,11400
50613,10232,8,2,1500,3000
50614,10232,6,3,750,2250
50615,10232,1,3,1100,3300
50616,10232,2,1,1800,1800
50617,10233,5,1,1600,1600
50618,10233,8,3,1500,4500
50619,10234,7,1,3800,3800
50620,10234,8,3,1500,4500
50621,10234,1,3,1100,3300
50622,10234,4,1,900,900
50623,10234,5,1,1600,1600
50624,10235,6,2,750,1500
50625,10236,6,2,750,1500
50626,10236,2,2,1800,3600
50627,10236,1,1,1100,1100
50628,10236,5,3,1600,4800
50629,10236,7,2,3800,7600
50630,10236,8,2,1500,3000
50631,10236,4,3,900,2700
50632,10237,7,1,3800,3800
50633,10237,8,2,1500,3000
50634,10238,1,2,1100,2200
50635,10238,6,3,750,2250
50636,10238,5,1,1600,1600
50637,10238,7,3,3800,11400
50638,10239,6,1,750,750
50639,10239,3,2,2200,4400
50640,10240,1,2,1100,2200
50641,10241,3,1,2200,2200
50642,10241,4,3,900,2700
50643,10241,8,2,1500,3000
50644,10242,5,3,1600,4800
50645,10242,8,1,1500,1500
50646,10242,6,2,750,1500
50647,10242,4,1,900,900
50648,10243,8,1,1500,1500
50649,10243,4,2,900,1800
50650,10244,8,1,1500,1500
50651,10244,5,3,1600,4800
50652,10244,6,1,750,750
50653,10245,7,2,3800,7600
50654,10246,3,1,2200,2200
50655,10246,7,2,3800,7600
50656,10246,8,3,1500,4500
50657,10246,6,1,750,750
50658,10246,2,2,1800,3600
50659,10246,5,1,1600,1600
50660,10247,3,3,2200,6600
50661,10247,2,1,1800,1800
50662,10247,8,3,1500,4500
50663,10247,5,3,1600,4800
50664,10248,6,3,750,2250
50665,10248,8,1,1500,1500
50666,10249,6,1,750,750
50667,10249,2,1,1800,1800
50668,10249,4,3,900,2700
50669,10250,5,2,1600,3200
50670,10250,8,1,1500,1500
50671,10250,7,1,3800,3800
50672,10251,7,3,3800,11400
50673,10251,3,1,2200,2200
50674,10252,8,2,1500,3000
50675,10252,6,3,750,2250
50676,10252,2,3,1800,5400
50677,10252,5,2,1600,3200
50678,10252,1,3,1100,3300
50679,10252,4,3,900,2700
50680,10252,3,3,2200,6600
50681,10253,8,2,1500,3000
50682,10253,7,3,3800,11400
50683,10254,8,3,1500,4500
50684,10254,5,3,1600,4800
50685,10254,4,1,900,900
50686,10254,1,1,1100,1100
50687,10254,6,2,750,1500
50688,10255,5,3,1600,4800
50689,10255,1,3,1100,3300
50690,10255,2,1,1800,1800
50691,10255,8,1,1500,1500
50692,10256,5,1,1600,1600
50693,10257,4,1,900,900
50694,10258,7,3,3800,11400
50695,10258,1,1,1100,1100
50696,10258,6,2,750,1500
50697,10258,2,2,1800,3600
50698,10259,2,3,1800,5400
50699,10259,1,3,1100,3300
50700,10259,8,3,1500,4500
50701,10260,1,2,1100,2200
50702,10260,2,1,1800,1800
50703,10260,3,2,2200,4400
50704,10260,5,1,1600,1600
50705,10260,4,2,900,1800
50706,10261,1,1,1100,1100
50707,10261,7,1,3800,3800
50708,10262,1,1,1100,1100
50709,10262,4,1,900,900
50710,10262,5,2,1600,3200
50711,10263,5,3,1600,4800
50712,10263,7,3,3800,11400
50713,10263,2,1,1800,1800
50714,10263,4,3,900,2700
50715,10264,1,1,1100,1100
50716,10264,2,2,1800,3600
50717,10265,5,1,1600,1600
50718,10266,8,2,1500,3000
50719,10267,1,2,1100,2200
50720,10268,2,1,1800,1800
50721,10269,7,1,3800,3800
50722,10269,3,3,2200,6600
50723,10270,6,3,750,2250
50724,10270,3,2,2200,4400
50725,10270,1,1,1100,1100
50726,10270,7,3,3800,11400
50727,10271,5,1,1600,1600
50728,10272,5,3,1600,4800
50729,10273,2,3,1800,5400
50730,10273,7,1,3800,3800
50731,10273,1,3,1100,3300
50732,10274,4,3,900,2700
50733,10274,7,2,3800,7600
50734,10274,5,3,1600,4800
50735,10274,1,1,1100,1100
50736,10275,3,2,2200,4400
50737,10276,3,3,2200,6600
50738,10276,7,2,3800,7600
50739,10277,1,2,1100,2200
50740,10277,3,2,2200,4400
50741,10277,4,2,900,1800
50742,10277,6,1,750,750
50743,10278,6,3,750,2250
50744,10278,2,3,1800,5400
50745,10279,2,3,1800,5400
50746,10279,5,1,1600,1600
50747,10279,7,3,3800,11400
50748,10279,1,2,1100,2200
50749,10280,6,3,750,2250
50750,10280,2,3,1800,5400
50751,10280,3,3,2200,6600
50752,10281,3,3,2200,6600
50753,10281,6,1,750,750
50754,10282,2,1,1800,1800
50755,10282,7,2,3800,7600
50756,10282,3,3,2200,6600
50757,10282,5,3,1600,4800
50758,10282,8,2,1500,3000
50759,10283,1,3,1100,3300
50760,10283,4,3,900,2700
50761,10283,6,2,750,1500
50762,10283,5,2,1600,3200
50763,10284,8,2,1500,3000
50764,10284,3,3,2200,6600
50765,10285,4,3,900,2700
50766,10285,8,1,1500,1500
50767,10285,5,3,1600,4800
50768,10285,3,2,2200,4400
50769,10286,5,2,1600,3200
50770,10287,4,2,900,1800
50771,10287,8,1,1500,1500
50772,10287,5,1,1600,1600
50773,10288,5,2,1600,3200
50774,10289,8,3,1500,4500
50775,10289,5,3,1600,4800
50776,10289,7,3,3800,11400
50777,10290,1,1,1100,1100
50778,10290,8,3,1500,4500
50779,10291,4,2,900,1800
50780,10292,8,3,1500,4500
50781,10292,4,1,900,900
50782,10293,5,1,1600,1600
50783,10294,4,1,900,900
50784,10294,3,3,2200,6600
50785,10294,5,1,1600,1600
50786,10294,6,2,750,1500
50787,10295,6,2,750,1500
50788,10296,4,2,900,1800
50789,10297,4,2,900,1800
50790,10297,3,2,2200,4400
50791,10297,5,2,1600,3200
50792,10298,1,3,1100,3300
50793,10299,8,3,1500,4500
50794,10299,6,2,750,1500
50795,10300,8,1,1500,1500
50796,10300,6,2,750,1500
50797,10300,4,2,900,1800
50798,10300,5,2,1600,3200
50799,10301,2,3,1800,5400
50800,10301,5,1,1600,1600
50801,10302,6,2,750,1500
50802,10302,1,1,1100,1100
50803,10302,7,2,3800,7600
50804,10303,7,3,3800,11400
50805,10303,4,1,900,900
50806,10304,6,1,750,750
50807,10304,3,3,2200,6600
50808,10304,7,1,3800,3800
50809,10305,7,1,3800,3800
50810,10305,4,3,900,2700
50811,10305,1,2,1100,2200
50812,10306,7,3,3800,11400
50813,10307,3,1,2200,2200
50814,10308,3,1,2200,2200
50815,10308,2,3,1800,5400
50816,10309,2,1,1800,1800
50817,10309,7,2,3800,7600
50818,10309,4,1,900,900
50819,10309,3,1,2200,2200
50820,10309,5,1,1600,1600
50821,10309,8,2,1500,3000
50822,10310,7,1,3800,3800
50823,10310,4,3,900,2700
50824,10311,7,3,3800,11400
50825,10311,1,2,1100,2200
50826,10311,2,3,1800,5400
50827,10312,7,3,3800,11400
50828,10312,5,2,1600,3200
50829,10313,4,2,900,1800
50830,10313,8,2,1500,3000
50831,10314,2,2,1800,3600
50832,10314,8,3,1500,4500
50833,10314,4,3,900,2700
50834,10314,6,3,750,2250
50835,10314,5,2,1600,3200
50836,10315,5,3,1600,4800
50837,10315,2,3,1800,5400
50838,10315,6,2,750,1500
50839,10316,1,3,1100,3300
50840,10317,7,3,3800,11400
50841,10317,3,2,2200,4400
50842,10317,2,1,1800,1800
50843,10318,7,1,3800,3800
50844,10319,3,3,2200,6600
50845,10319,1,1,1100,1100
50846,10319,7,1,3800,3800
50847,10320,8,3,1500,4500
50848,10320,5,2,1600,3200
50849,10321,6,2,750,1500
50850,10321,5,2,1600,3200
50851,10322,1,3,1100,3300
50852,10322,6,2,750,1500
50853,10322,7,2,3800,7600
50854,10322,5,2,1600,3200
50855,10322,3,1,2200,2200
50856,10322,4,2,900,1800
50857,10322,8,1,1500,1500
50858,10323,7,3,3800,11400
50859,10323,8,3,1500,4500
50860,10324,5,2,1600,3200
50861,10324,4,3,900,2700
50862,10324,8,3,1500,4500
50863,10324,3,3,2200,6600
50864,10324,7,1,3800,3800
50865,10324,6,2,750,1500
50866,10325,6,2,750,1500
50867,10326,1,3,1100,3300
50868,10326,3,3,2200,6600
50869,10327,8,2,1500,3000
50870,10327,4,1,900,900
50871,10328,4,3,900,2700
50872,10328,1,3,1100,3300
50873,10328,3,1,2200,2200
50874,10329,3,3,2200,6600
50875,10329,7,3,3800,11400
50876,10329,2,2,1800,3600
50877,10329,8,3,1500,4500
50878,10329,1,1,1100,1100
50879,10329,4,3,900,2700
50880,10329,6,2,750,1500
50881,10329,5,3,1600,4800
50882,10330,8,1,1500,1500
50883,10330,5,1,1600,1600
50884,10331,2,2,1800,3600
50885,10331,3,2,2200,4400
50886,10331,5,2,1600,3200
50887,10332,7,3,3800,11400
