id_venta,fecha_hora,id_cliente,medio_pago,monto_total
10091,2026-01-01 11:33:00,CLI-263,Efectivo,10900
10092,2026-01-01 09:37:00,CLI-140,Mercado Pago,7800
10093,2026-01-01 19:35:00,CLI-144,Efectivo,7700
10094,2026-01-01 11:42:00,CLI-264,Debito,21600
10095,2026-01-01 12:04:00,CLI-260,Efectivo,9350
10096,2026-01-01 11:44:00,Consumidor Final,Efectivo,2900
10097,2026-01-01 18:29:00,CLI-213,Mercado Pago,7400
10098,2026-01-01 16:27:00,Consumidor Final,Efectivo,27100
10099,2026-01-01 08:00:00,Consumidor Final,Debito,13000
10100,2026-01-01 09:20:00,Consumidor Final,Mercado Pago,13600
10101,2026-01-01 09:42:00,CLI-120,Efectivo,10500
10102,2026-01-01 18:15:00,Consumidor Final,Mercado Pago,7050
10103,2026-01-01 08:41:00,Consumidor Final,Debito,2900
10104,2026-01-01 16:08:00,Consumidor Final,Debito,7100
10105,2026-01-01 11:54:00,CLI-168,Mercado Pago,4700
10106,2026-01-01 12:24:00,CLI-101,Debito,16400
10107,2026-01-01 11:35:00,CLI-230,Debito,14500
10108,2026-01-01 20:02:00,Consumidor Final,Credito,18050
10109,2026-01-01 08:15:00,Consumidor Final,Debito,3600
10110,2026-01-01 19:21:00,Consumidor Final,Efectivo,9900
10111,2026-01-01 08:02:00,CLI-279,Credito,14200
10112,2026-01-01 18:23:00,Consumidor Final,Efectivo,4000
10113,2026-01-01 08:53:00,Consumidor Final,Debito,7400
10114,2026-01-01 11:03:00,CLI-272,Credito,5550
10115,2026-01-01 10:33:00,CLI-109,Debito,15450
10116,2026-01-01 11:39:00,CLI-116,Efectivo,17200
10117,2026-01-01 20:04:00,CLI-282,Debito,1500
10118,2026-01-01 20:49:00,Consumidor Final,Credito,3600
10119,2026-01-02 19:59:00,CLI-181,Debito,25500
10120,2026-01-02 16:22:00,Consumidor Final,Efectivo,4500
10121,2026-01-02 12:39:00,CLI-157,Credito,14900
10122,2026-01-02 16:03:00,CLI-177,Credito,16200
10123,2026-01-02 08:08:00,CLI-252,Debito,1100
10124,2026-01-02 18:31:00,Consumidor Final,Efectivo,5800
10125,2026-01-02 16:27:00,Consumidor Final,Efectivo,750
10126,2026-01-02 16:02:00,CLI-290,Efectivo,2200
10127,2026-01-02 16:39:00,Consumidor Final,Efectivo,9500
10128,2026-01-02 16:13:00,Consumidor Final,Debito,1800
10129,2026-01-02 10:37:00,Consumidor Final,Efectivo,9200
10130,2026-01-02 19:23:00,CLI-261,Mercado Pago,3200
10131,2026-01-02 09:35:00,CLI-291,Debito,6150
10132,2026-01-02 11:16:00,Consumidor Final,Mercado Pago,3800
10133,2026-01-02 09:12:00,CLI-206,Mercado Pago,2600
10134,2026-01-02 12:20:00,Consumidor Final,Mercado Pago,1500
10135,2026-01-02 19:59:00,Consumidor Final,Mercado Pago,7600
10136,2026-01-02 09:12:00,CLI-169,Debito,3200
10137,2026-01-02 08:05:00,CLI-226,Mercado Pago,2200
10138,2026-01-02 20:04:00,Consumidor Final,Efectivo,18850
10139,2026-01-02 08:33:00,Consumidor Final,Efectivo,6000
10140,2026-01-02 17:15:00,CLI-211,Mercado Pago,6500
10141,2026-01-02 11:03:00,Consumidor Final,Efectivo,6800
10142,2026-01-02 16:02:00,CLI-299,Debito,3800
10143,2026-01-02 17:59:00,Consumidor Final,Debito,12500
10144,2026-01-02 16:10:00,CLI-145,Credito,3300
10145,2026-01-02 10:24:00,CLI-230,Mercado Pago,7600
10146,2026-01-02 18:43:00,CLI-220,Mercado Pago,6200
10147,2026-01-02 08:51:00,CLI-133,Debito,15900
10148,2026-01-02 19:00:00,CLI-299,Efectivo,5100
10149,2026-01-02 11:38:00,Consumidor Final,Mercado Pago,17400
10150,2026-01-02 10:24:00,Consumidor Final,Credito,6300
10151,2026-01-02 18:54:00,CLI-220,Mercado Pago,2200
10152,2026-01-02 10:40:00,Consumidor Final,Debito,6600
10153,2026-01-02 16:29:00,CLI-111,Credito,2550
10154,2026-01-02 08:16:00,CLI-164,Mercado Pago,1600
10155,2026-01-02 10:28:00,CLI-278,Debito,11400
10156,2026-01-02 16:22:00,CLI-265,Efectivo,5400
10157,2026-01-02 18:44:00,CLI-183,Debito,4800
10158,2026-01-02 12:41:00,CLI-206,Efectivo,10850
10159,2026-01-02 20:47:00,Consumidor Final,Credito,5400
10160,2026-01-02 17:01:00,CLI-167,Debito,6600
10161,2026-01-02 08:28:00,Consumidor Final,Mercado Pago,9200
10162,2026-01-02 18:29:00,Consumidor Final,Mercado Pago,4900
10163,2026-01-02 08:53:00,CLI-206,Mercado Pago,5550
10164,2026-01-02 10:56:00,Consumidor Final,Mercado Pago,5400
10165,2026-01-02 11:09:00,CLI-287,Efectivo,8450
10166,2026-01-02 20:55:00,CLI-187,Credito,3300
10167,2026-01-02 20:41:00,CLI-221,Credito,8200
10168,2026-01-02 20:52:00,Consumidor Final,Debito,7350
10169,2026-01-02 12:46:00,CLI-197,Debito,24600
10170,2026-01-02 19:20:00,CLI-238,Efectivo,12400
10171,2026-01-02 11:23:00,CLI-250,Debito,7450
10172,2026-01-02 10:04:00,Consumidor Final,Efectivo,8900
10173,2026-01-02 08:49:00,Consumidor Final,Efectivo,1800
10174,2026-01-02 20:08:00,Consumidor Final,Mercado Pago,3300
10175,2026-01-02 18:59:00,Consumidor Final,Efectivo,7400
10176,2026-01-02 20:46:00,CLI-258,Efectivo,13250
10177,2026-01-02 17:35:00,CLI-299,Mercado Pago,8100
10178,2026-01-02 17:33:00,CLI-226,Mercado Pago,1100
10179,2026-01-02 16:04:00,Consumidor Final,Debito,2250
10180,2026-01-02 12:05:00,Consumidor Final,Mercado Pago,2250
10181,2026-01-02 12:12:00,Consumidor Final,Mercado Pago,14000
10182,2026-01-02 17:13:00,CLI-204,Mercado Pago,8800
10183,2026-01-02 19:02:00,Consumidor Final,Efectivo,11000
10184,2026-01-02 17:12:00,Consumidor Final,Mercado Pago,6100
10185,2026-01-02 19:59:00,Consumidor Final,Debito,8450
10186,2026-01-02 09:11:00,CLI-115,Mercado Pago,21000
10187,2026-01-02 19:03:00,Consumidor Final,Efectivo,18550
10188,2026-01-02 12:30:00,Consumidor Final,Mercado Pago,9600
10189,2026-01-02 18:14:00,Consumidor Final,Credito,7500
10190,2026-01-02 09:27:00,CLI-169,Mercado Pago,13900
10191,2026-01-02 11:28:00,CLI-158,Mercado Pago,16500
10192,2026-01-02 19:42:00,CLI-269,Mercado Pago,3600
10193,2026-01-02 16:55:00,Consumidor Final,Debito,6800
10194,2026-01-02 12:19:00,CLI-280,Mercado Pago,1500
10195,2026-01-02 12:16:00,Consumidor Final,Efectivo,10200
10196,2026-01-02 12:41:00,CLI-183,Efectivo,6100
10197,2026-01-02 08:23:00,Consumidor Final,Debito,10700
10198,2026-01-02 08:56:00,CLI-287,Efectivo,13600
10199,2026-01-02 11:12:00,Consumidor Final,Mercado Pago,4700
10200,2026-01-02 08:30:00,Consumidor Final,Efectivo,11000
10201,2026-01-02 08:24:00,CLI-150,Credito,24700
10202,2026-01-03 12:02:00,CLI-114,Debito,3800
10203,2026-01-03 11:18:00,CLI-233,Credito,2250
10204,2026-01-03 11:09:00,CLI-188,Debito,8650
10205,2026-01-03 11:04:00,CLI-126,Credito,13500
10206,2026-01-03 11:19:00,Consumidor Final,Efectivo,18000
10207,2026-01-03 08:11:00,CLI-170,Efectivo,5900
10208,2026-01-03 11:53:00,CLI-247,Mercado Pago,9200
10209,2026-01-03 10:59:00,Consumidor Final,Credito,3600
10210,2026-01-03 17:24:00,Consumidor Final,Debito,21700
10211,2026-01-03 16:46:00,Consumidor Final,Debito,12150
10212,2026-01-03 11:45:00,CLI-168,Credito,15900
10213,2026-01-03 18:37:00,CLI-164,Credito,4800
10214,2026-01-03 20:57:00,Consumidor Final,Mercado Pago,6300
10215,2026-01-03 20:21:00,CLI-234,Debito,3100
10216,2026-01-03 16:27:00,Consumidor Final,Mercado Pago,15200
10217,2026-01-03 11:54:00,Consumidor Final,Credito,8400
10218,2026-01-03 16:04:00,Consumidor Final,Debito,11100
10219,2026-01-03 12:39:00,Consumidor Final,Mercado Pago,5700
10220,2026-01-03 18:33:00,CLI-127,Efectivo,1800
10221,2026-01-03 08:02:00,CLI-173,Mercado Pago,1500
10222,2026-01-03 12:38:00,Consumidor Final,Debito,7500
10223,2026-01-03 10:14:00,Consumidor Final,Mercado Pago,1500
10224,2026-01-03 10:53:00,CLI-298,Efectivo,15300
10225,2026-01-03 08:27:00,Consumidor Final,Efectivo,15000
10226,2026-01-03 11:57:00,Consumidor Final,Debito,10150
10227,2026-01-03 09:34:00,Consumidor Final,Debito,4750
10228,2026-01-03 19:12:00,CLI-110,Efectivo,1600
10229,2026-01-03 17:11:00,Consumidor Final,Mercado Pago,9200
10230,2026-01-03 18:06:00,CLI-121,Mercado Pago,19550
10231,2026-01-03 10:39:00,Consumidor Final,Mercado Pago,7000
10232,2026-01-03 09:26:00,CLI-262,Debito,21750
10233,2026-01-03 20:18:00,CLI-124,Mercado Pago,6100
10234,2026-01-03 10:20:00,CLI-111,Mercado Pago,14100
10235,2026-01-03 09:06:00,CLI-103,Efectivo,1500
10236,2026-01-03 08:14:00,CLI-111,Mercado Pago,24300
10237,2026-01-03 12:55:00,CLI-275,Mercado Pago,6800
10238,2026-01-03 11:52:00,CLI-218,Mercado Pago,17450
10239,2026-01-03 16:07:00,CLI-139,Efectivo,5150
10240,2026-01-03 17:37:00,Consumidor Final,Efectivo,2200
10241,2026-01-03 19:59:00,Consumidor Final,Debito,7900
10242,2026-01-03 16:08:00,CLI-139,Efectivo,8700
10243,2026-01-03 12:36:00,CLI-233,Debito,3300
10244,2026-01-03 10:44:00,Consumidor Final,Debito,7050
10245,2026-01-03 11:40:00,CLI-130,Mercado Pago,7600
10246,2026-01-03 11:14:00,CLI-116,Efectivo,20250
10247,2026-01-03 09:20:00,CLI-193,Debito,17700
10248,2026-01-03 16:14:00,Consumidor Final,Efectivo,3750
10249,2026-01-03 08:20:00,Consumidor Final,Credito,5250
10250,2026-01-03 09:27:00,Consumidor Final,Efectivo,8500
10251,2026-01-03 19:18:00,CLI-285,Efectivo,13600
10252,2026-01-03 11:33:00,CLI-166,Debito,26450
10253,2026-01-03 16:29:00,CLI-230,Debito,14400
10254,2026-01-03 20:56:00,CLI-221,Credito,12800
10255,2026-01-03 12:36:00,CLI-155,Debito,11400
10256,2026-01-03 17:08:00,Consumidor Final,Debito,1600
10257,2026-01-03 08:41:00,Consumidor Final,Mercado Pago,900
10258,2026-01-03 16:13:00,Consumidor Final,Efectivo,17600
10259,2026-01-03 17:05:00,Consumidor Final,Mercado Pago,13200
10260,2026-01-03 19:23:00,CLI-160,Mercado Pago,11800
10261,2026-01-03 10:08:00,Consumidor Final,Efectivo,4900
10262,2026-01-03 19:42:00,CLI-225,Mercado Pago,5200
10263,2026-01-03 11:02:00,CLI-205,Credito,20700
10264,2026-01-03 09:59:00,Consumidor Final,Mercado Pago,4700
10265,2026-01-03 16:13:00,CLI-157,Mercado Pago,1600
10266,2026-01-03 12:54:00,CLI-291,Efectivo,3000
10267,2026-01-03 10:25:00,CLI-243,Mercado Pago,2200
10268,2026-01-03 10:14:00,Consumidor Final,Debito,1800
10269,2026-01-03 20:04:00,CLI-189,Debito,10400
10270,2026-01-03 11:12:00,CLI-205,Efectivo,19150
10271,2026-01-03 19:51:00,CLI-279,Efectivo,1600
10272,2026-01-03 11:21:00,CLI-285,Credito,4800
10273,2026-01-03 08:30:00,Consumidor Final,Mercado Pago,12500
10274,2026-01-03 17:30:00,CLI-191,Mercado Pago,16200
10275,2026-01-03 16:01:00,CLI-159,Debito,4400
10276,2026-01-03 20:56:00,CLI-206,Credito,14200
10277,2026-01-03 18:35:00,CLI-251,Mercado Pago,9150
10278,2026-01-03 20:55:00,Consumidor Final,Mercado Pago,7650
10279,2026-01-03 11:22:00,CLI-241,Efectivo,20600
10280,2026-01-03 18:34:00,CLI-232,Efectivo,14250
10281,2026-01-03 20:25:00,Consumidor Final,Debito,7350
10282,2026-01-03 10:04:00,Consumidor Final,Mercado Pago,23800
10283,2026-01-03 18:22:00,CLI-142,Mercado Pago,10700
10284,2026-01-03 16:27:00,Consumidor Final,Debito,9600
10285,2026-01-03 10:45:00,CLI-152,Efectivo,13400
10286,2026-01-03 11:56:00,Consumidor Final,Debito,3200
10287,2026-01-03 11:14:00,Consumidor Final,Debito,4900
10288,2026-01-03 09:06:00,CLI-224,Mercado Pago,3200
10289,2026-01-03 11:29:00,Consumidor Final,Debito,20700
10290,2026-01-03 10:16:00,Consumidor Final,Mercado Pago,5600
10291,2026-01-03 12:57:00,Consumidor Final,Efectivo,1800
10292,2026-01-03 08:09:00,Consumidor Final,Efectivo,5400
10293,2026-01-04 18:43:00,CLI-265,Debito,1600
10294,2026-01-04 09:05:00,Consumidor Final,Debito,10600
10295,2026-01-04 18:58:00,CLI-138,Mercado Pago,1500
10296,2026-01-04 11:18:00,CLI-166,Mercado Pago,1800
10297,2026-01-04 12:06:00,Consumidor Final,Mercado Pago,9400
10298,2026-01-04 08:22:00,Consumidor Final,Mercado Pago,3300
10299,2026-01-04 08:55:00,Consumidor Final,Debito,6000
10300,2026-01-04 12:24:00,CLI-247,Mercado Pago,8000
10301,2026-01-04 19:40:00,CLI-292,Credito,7000
10302,2026-01-04 20:34:00,Consumidor Final,Debito,10200
10303,2026-01-04 12:00:00,CLI-233,Mercado Pago,12300
10304,2026-01-04 17:50:00,CLI-146,Debito,11150
10305,2026-01-04 12:27:00,CLI-268,Debito,8700
10306,2026-01-04 08:23:00,Consumidor Final,Efectivo,11400
10307,2026-01-04 16:53:00,CLI-172,Efectivo,2200
10308,2026-01-04 16:42:00,Consumidor Final,Mercado Pago,7600
10309,2026-01-04 16:04:00,CLI-104,Mercado Pago,17100
10310,2026-01-04 16:06:00,Consumidor Final,Credito,6500
10311,2026-01-04 19:54:00,Consumidor Final,Debito,19000
10312,2026-01-04 08:24:00,Consumidor Final,Efectivo,14600
10313,2026-01-04 08:06:00,Consumidor Final,Efectivo,4800
10314,2026-01-04 11:37:00,CLI-288,Credito,16250
10315,2026-01-04 12:26:00,CLI-298,Efectivo,11700
10316,2026-01-04 19:47:00,CLI-160,Mercado Pago,3300
10317,2026-01-04 09:07:00,CLI-178,Credito,17600
10318,2026-01-04 17:53:00,Consumidor Final,Debito,3800
10319,2026-01-04 12:52:00,CLI-121,Mercado Pago,11500
10320,2026-01-04 19:15:00,CLI-150,Efectivo,7700
10321,2026-01-04 08:00:00,CLI-226,Efectivo,4700
10322,2026-01-04 17:23:00,Consumidor Final,Efectivo,21100
10323,2026-01-04 11:28:00,CLI-248,Mercado Pago,15900
10324,2026-01-04 10:59:00,CLI-198,Debito,22300
10325,2026-01-04 10:00:00,Consumidor Final,Efectivo,1500
10326,2026-01-04 16:09:00,Consumidor Final,Mercado Pago,9900
10327,2026-01-04 17:16:00,Consumidor Final,Mercado Pago,3900
10328,2026-01-04 18:32:00,CLI-135,Debito,8200
10329,2026-01-04 09:40:00,Consumidor Final,Mercado Pago,36200
10330,2026-01-04 16:45:00,Consumidor Final,Efectivo,3100
10331,2026-01-04 20:40:00,CLI-272,Efectivo,11200
10332,2026-01-04 10:17:00,CLI-282,Efectivo,19900
10333,2026-01-04 10:54:00,CLI-118,Debito,19650
10334,2026-01-04 08:07:00,Consumidor Final,Mercado Pago,4000
10335,2026-01-04 19:06:00,CLI-177,Efectivo,7500
10336,2026-01-04 11:13:00,CLI-225,Efectivo,1800
10337,2026-01-04 11:45:00,CLI-230,Mercado Pago,21700
10338,2026-01-04 10:52:00,CLI-206,Debito,19600
10339,2026-01-04 12:13:00,Consumidor Final,Efectivo,2700
10340,2026-01-04 08:03:00,CLI-269,Debito,19900
10341,2026-01-04 09:13:00,Consumidor Final,Mercado Pago,3200
10342,2026-01-04 19:43:00,Consumidor Final,Efectivo,8500
10343,2026-01-04 16:31:00,CLI-147,Efectivo,17600
10344,2026-01-04 10:53:00,CLI-245,Debito,3200
10345,2026-01-04 11:12:00,CLI-139,Mercado Pago,9100
10346,2026-01-04 20:29:00,CLI-281,Debito,8550
10347,2026-01-04 17:11:00,CLI-115,Mercado Pago,14400
10348,2026-01-04 19:34:00,CLI-242,Mercado Pago,8400
10349,2026-01-04 18:29:00,Consumidor Final,Mercado Pago,8900
10350,2026-01-04 17:33:00,CLI-176,Debito,3800
10351,2026-01-04 10:56:00,Consumidor Final,Efectivo,3950
10352,2026-01-04 10:52:00,Consumidor Final,Debito,9200
10353,2026-01-04 16:58:00,Consumidor Final,Debito,5400
10354,2026-01-04 16:39:00,CLI-225,Debito,11350
10355,2026-01-04 16:54:00,CLI-223,Debito,2900
10356,2026-01-04 08:12:00,CLI-246,Efectivo,750
10357,2026-01-04 18:01:00,CLI-168,Debito,750
10358,2026-01-04 11:13:00,Consumidor Final,Efectivo,6600
10359,2026-01-04 19:32:00,Consumidor Final,Mercado Pago,10400
10360,2026-01-04 19:53:00,Consumidor Final,Efectivo,3450
10361,2026-01-04 10:44:00,CLI-154,Efectivo,17700
10362,2026-01-04 09:19:00,CLI-172,Efectivo,8750
10363,2026-01-04 19:28:00,CLI-295,Mercado Pago,16650
10364,2026-01-04 12:00:00,CLI-109,Efectivo,14800
10365,2026-01-04 11:08:00,Consumidor Final,Credito,12400
10366,2026-01-04 20:54:00,Consumidor Final,Efectivo,3300
10367,2026-01-04 17:14:00,Consumidor Final,Efectivo,10600
10368,2026-01-04 11:49:00,CLI-259,Efectivo,1500
10369,2026-01-04 19:18:00,Consumidor Final,Efectivo,3600
10370,2026-01-04 10:39:00,Consumidor Final,Efectivo,9300
10371,2026-01-04 09:02:00,CLI-287,Mercado Pago,20500
10372,2026-01-04 18:06:00,CLI-216,Mercado Pago,900
10373,2026-01-04 17:24:00,CLI-239,Credito,5400
10374,2026-01-04 16:32:00,Consumidor Final,Efectivo,1800
10375,2026-01-04 18:27:00,CLI-101,Debito,3600
10376,2026-01-04 09:25:00,CLI-227,Mercado Pago,750
10377,2026-01-04 20:50:00,Consumidor Final,Efectivo,4800
10378,2026-01-04 18:10:00,Consumidor Final,Mercado Pago,6600
10379,2026-01-04 20:09:00,Consumidor Final,Debito,6600
10380,2026-01-04 20:37:00,CLI-125,Efectivo,1800
10381,2026-01-04 18:25:00,CLI-285,Efectivo,13600
10382,2026-01-04 17:28:00,Consumidor Final,Efectivo,19800
10383,2026-01-04 12:50:00,Consumidor Final,Debito,9000
10384,2026-01-04 17:24:00,CLI-281,Mercado Pago,8200
10385,2026-01-04 08:00:00,CLI-216,Debito,9600
10386,2026-01-04 19:15:00,Consumidor Final,Efectivo,11000
10387,2026-01-04 09:06:00,CLI-158,Efectivo,7100
10388,2026-01-04 11:24:00,CLI-179,Mercado Pago,3000
10389,2026-01-04 17:01:00,CLI-120,Efectivo,3800
10390,2026-01-05 20:51:00,Consumidor Final,Credito,17100
10391,2026-01-05 17:31:00,Consumidor Final,Credito,5900
10392,2026-01-05 09:28:00,Consumidor Final,Efectivo,8600
10393,2026-01-05 20:54:00,Consumidor Final,Credito,9600
10394,2026-01-05 09:02:00,CLI-284,Efectivo,10050
10395,2026-01-05 09:45:00,CLI-168,Mercado Pago,4500
10396,2026-01-05 18:57:00,Consumidor Final,Debito,10900
10397,2026-01-05 19:07:00,CLI-197,Credito,7850
10398,2026-01-05 11:18:00,CLI-196,Mercado Pago,8100
10399,2026-01-05 11:22:00,CLI-196,Efectivo,13700
10400,2026-01-05 20:05:00,CLI-249,Debito,10750
10401,2026-01-05 20:50:00,CLI-285,Debito,12300
10402,2026-01-05 16:03:00,Consumidor Final,Efectivo,4500
10403,2026-01-05 09:47:00,CLI-242,Efectivo,7600
10404,2026-01-05 10:02:00,Consumidor Final,Efectivo,4500
10405,2026-01-05 18:54:00,CLI-143,Mercado Pago,3300
10406,2026-01-05 12:10:00,CLI-168,Efectivo,17700
10407,2026-01-05 20:04:00,CLI-279,Debito,1600
10408,2026-01-05 08:00:00,Consumidor Final,Efectivo,1500
10409,2026-01-05 18:52:00,CLI-258,Mercado Pago,17650
10410,2026-01-05 20:58:00,CLI-114,Mercado Pago,9200
10411,2026-01-05 20:14:00,CLI-276,Efectivo,7400
10412,2026-01-05 08:32:00,CLI-259,Debito,4450
10413,2026-01-05 18:15:00,CLI-267,Efectivo,3400
10414,2026-01-05 18:05:00,CLI-202,Debito,13200
10415,2026-01-05 20:31:00,CLI-116,Efectivo,3200
10416,2026-01-05 12:59:00,CLI-163,Mercado Pago,8600
10417,2026-01-05 10:30:00,CLI-270,Mercado Pago,3300
10418,2026-01-05 10:10:00,CLI-255,Efectivo,15700
10419,2026-01-05 11:24:00,Consumidor Final,Credito,8700
10420,2026-01-05 10:57:00,CLI-245,Mercado Pago,3200
10421,2026-01-05 16:06:00,CLI-255,Efectivo,3200
10422,2026-01-05 18:53:00,CLI-123,Mercado Pago,3300
10423,2026-01-05 20:27:00,CLI-222,Debito,1100
10424,2026-01-05 16:29:00,CLI-171,Debito,8100
10425,2026-01-05 11:43:00,CLI-210,Mercado Pago,13050
10426,2026-01-05 11:38:00,CLI-218,Debito,1100
10427,2026-01-05 18:21:00,CLI-102,Debito,3200
10428,2026-01-05 08:32:00,Consumidor Final,Mercado Pago,18100
10429,2026-01-05 10:14:00,Consumidor Final,Mercado Pago,8800
10430,2026-01-05 17:14:00,CLI-226,Debito,5200
10431,2026-01-05 10:00:00,CLI-119,Efectivo,12000
10432,2026-01-05 20:13:00,CLI-155,Efectivo,6500
10433,2026-01-05 08:58:00,CLI-202,Efectivo,31250
10434,2026-01-05 19:11:00,CLI-200,Credito,4200
10435,2026-01-05 08:46:00,Consumidor Final,Debito,13900
10436,2026-01-05 11:48:00,Consumidor Final,Efectivo,3000
10437,2026-01-05 19:54:00,CLI-244,Debito,24900
10438,2026-01-05 16:52:00,Consumidor Final,Mercado Pago,21800
10439,2026-01-05 17:06:00,CLI-221,Debito,14300
10440,2026-01-05 11:43:00,CLI-286,Credito,7000
